backend,backend_key,n,status,fit_s,loglik_s,predict_s,wall_s,ll,ll_native,ll_comparable,rmse,q2,dloglik_n,dmean_rms
libKriging-Cholesky-OpenBLAS,chol,250,ok,0.005526675027795136,0.005892080022022128,0.0043773159850388765,0.1072811619960703,-317.2408530908763,-317.2408530908763,True,0.4772652662143905,0.8951942088308928,0.0,0.0
libKriging-Cholesky-OpenBLAS,chol,500,ok,0.023223866999614984,0.025291908998042345,0.018464281980413944,0.38766635302454233,-463.2219780805967,-463.2219780805967,True,0.3401809738091629,0.946754162448549,0.0,0.0
libKriging-Cholesky-OpenBLAS,chol,1000,ok,0.11064134701155126,0.11565217800671235,0.024834066978655756,1.4035802920116112,-512.8573548380691,-512.8573548380691,True,0.21110003711061393,0.9794958277266366,0.0,0.0
libKriging-Cholesky-OpenBLAS,chol,2000,ok,0.5100947680184618,0.49695181200513616,0.05550485401181504,5.912533116003033,-60.626782673358434,-60.626782673358434,True,0.09552206631896415,0.9958017041492881,0.0,0.0
libKriging-Cholesky-OpenBLAS,chol,4000,ok,2.3367188669508323,2.414835730975028,0.17558019398711622,25.221634461951908,2183.7686872253726,2183.7686872253726,True,0.04214301497461961,0.9991828216958988,0.0,0.0
libKriging-Cholesky-OpenBLAS,chol,8000,ok,11.25120453897398,11.927125221001916,0.5565678150160238,26.24073610402411,9751.610210172827,9751.610210172827,True,0.021679653933697293,0.9997837429305018,0.0,0.0
libKriging-Iterative-CUDA,iter-cuda,250,ok,0.014256041031330824,0.015448461985215545,0.010282666014973074,0.5261878099991009,-316.2156150857622,-316.2156150857622,True,0.47726703651789476,0.8951934313244762,0.004100952020456588,0.00021875805039585193
libKriging-Iterative-CUDA,iter-cuda,500,ok,0.02282469003694132,0.022151294047944248,0.03399883897509426,0.43293534201802686,-458.72396676002904,-458.72396676002904,True,0.34018144666370537,0.9467540144240821,0.008996022641135368,0.00026700110505727945
libKriging-Iterative-CUDA,iter-cuda,1000,ok,0.056699599022977054,0.06268714799080044,0.15199528000084683,2.076936024997849,-510.84079003743085,-510.84079003743085,True,0.2111003018100187,0.9794957763060336,0.002016564800638264,0.0007342395431932166
libKriging-Iterative-CUDA,iter-cuda,2000,ok,0.34755140100605786,0.4055240909801796,0.08433837397024035,4.269916786986869,-64.84859284487118,-64.84859284487118,True,0.09550717508865207,0.9958030130179044,0.0021109050857563718,0.0007986796407877553
