backend,backend_key,n,status,fit_s,loglik_s,predict_s,update_s,wall_s,ll,ll_native,ll_comparable,rmse,q2,dloglik_n,dmean_rms
libKriging-Cholesky-OpenBLAS,chol,250,ok,0.010857442999622435,0.005929507000473677,0.014084023999203055,0.0036221160007698927,0.24484166099955473,-317.2408530908763,-317.2408530908763,True,0.4772652662143905,0.8951942088308928,0.0,0.0
libKriging-Cholesky-OpenBLAS,chol,500,ok,0.019778180000685097,0.025226321999980428,0.018401018000076874,0.008485458999530238,0.5203934269993624,-463.2219780805967,-463.2219780805967,True,0.3401809738091629,0.946754162448549,0.0,0.0
libKriging-Cholesky-OpenBLAS,chol,1000,ok,0.08399476600061462,0.11921247300051618,0.024787811000351212,0.03751299299983657,1.9708481810002922,-512.8573548380691,-512.8573548380691,True,0.21110003711061393,0.9794958277266366,0.0,0.0
libKriging-Cholesky-OpenBLAS,chol,2000,ok,0.2857251109999197,0.46606465199965896,0.05562638900028105,0.14547166599913908,7.066957463000108,-60.626782673358434,-60.626782673358434,True,0.09552206631896415,0.9958017041492881,0.0,0.0
libKriging-Cholesky-OpenBLAS,chol,4000,ok,1.5058064790000572,2.5945598600001176,0.17021409700009826,0.8228583099999014,34.75050351000027,2183.7686872253726,2183.7686872253726,True,0.04214301497461961,0.9991828216958988,0.0,0.0
libKriging-Cholesky-OpenBLAS,chol,8000,ok,6.733966034000332,12.471907929000736,0.5606806839996352,3.364759896999203,32.3059980070002,9751.610210172827,9751.610210172827,True,0.021679653933697293,0.9997837429305018,0.0,0.0
libKriging-Iterative-CUDA,iter-cuda,250,ok,0.01448668800003361,0.01556515100037359,0.008855878999384004,0.0106060409998463,0.4331793649998872,-316.21561508576224,-316.21561508576224,True,0.4772636571770584,0.8951949155076961,0.004100952020456361,0.0001868757530762881
libKriging-Iterative-CUDA,iter-cuda,500,ok,0.019731374000002688,0.021502208999663708,0.018085921000420058,0.017761852000148792,0.5243513140003415,-458.7239508977608,-458.7239508977608,True,0.3401813942375803,0.9467540308357971,0.008996054365671852,0.0002906527483978944
libKriging-Iterative-CUDA,iter-cuda,1000,ok,0.05705532800038782,0.0737521539995214,0.03220415000032517,0.04555180199986353,1.4520175050001853,-510.8420967219081,-510.8420967219081,True,0.2110960906386934,0.9794965943620655,0.0020152581161610216,0.00026713159849831746
libKriging-Iterative-CUDA,iter-cuda,2000,ok,0.35141958099939075,0.4054032109997934,0.0699966169995605,0.26266574500004936,7.962039268999433,-64.8486008586201,-64.8486008586201,True,0.09552332992541804,0.9958015930748731,0.002110909092630834,0.00030400839021951304
libKriging-Iterative-CUDA,iter-cuda,4000,ok,2.0355635650003023,4.780854438999995,0.1311874569992142,1.2362969469995733,32.92770027200004,2133.367741135282,2133.367741135282,True,0.04213829760605156,0.9991830046308641,0.012600236522522665,0.0005546383793289967
libKriging-Iterative-CUDA,iter-cuda,8000,ok,28.349881321000794,104.12224241599961,0.23312223500033724,10.434675722000065,172.59506707499986,9305.6877583212,9305.6877583212,True,0.02169550270458767,0.9997834266282627,0.055740306481453214,0.0007469060393940505
libKriging-Iterative-HIP,iter-hip,250,ok,0.021709340000597876,0.026026343000012275,0.023996986000383913,0.022775212999476935,0.7203770630003419,-316.2156150857621,-316.2156150857621,True,0.47726365717705865,0.895194915507696,0.0041009520204568165,0.00018687575307598685
libKriging-Iterative-HIP,iter-hip,500,ok,0.030190406000656367,0.03670460099965567,0.032997066999996605,0.03258955900037108,0.8597531260002143,-458.72401148236634,-458.72401148236634,True,0.3401812183122418,0.9467540859082548,0.008995933196460783,0.00028953190571430324
libKriging-Iterative-HIP,iter-hip,1000,ok,0.06687960499948531,0.10647130300003482,0.048576979000245046,0.06645078299970919,1.9192967740000313,-510.84356257949344,-510.84356257949344,True,0.2110913560674173,0.9794975140735247,0.002013792258575677,0.00023953531475519644
libKriging-Iterative-HIP,iter-hip,2000,ok,0.2794473280000602,0.6617487800003801,0.1056869510002798,0.2247161409995897,8.22587386899977,-64.86221536730068,-64.86221536730068,True,0.09552966082008361,0.9958010365500363,0.002117716346971122,0.00041242636292156273
libKriging-Iterative-HIP,iter-hip,4000,ok,2.546005091000552,8.971772332999535,0.2483042479998403,1.2125726840004063,42.89692867899976,2133.364134349792,2133.364134349792,True,0.04215161494259406,0.9991824881448081,0.01260113821889513,0.0004652072518291918
